,Kezelés,Helyrajzi és albetétszám,Cím,Lépcsőház,Emelet,Ajtó,Besorolási kategória,Negyed,2022szept_állapot,2023nov_állapot,Mőszaki állapot,Terület,Épületen belüli fekvés,Ü/Nü dátum,Tárgyhó KK,Mérőóra fajták,Aljogcím,Meddig,Aktuális hó bérleti / használati díj,Éves bérleti és / vagy használati díj
1161,Társasház,36118/A/38,Práter u. 67,,Pi.,MU/3,2,Losonci negyed,Üres,Üres,Közepes állapotú,133.0,UCP,7/1/2008,26572.0,víz,,,0.0,0.0
1162,Társasház,36116/A/1,Práter u. 69,,Pi.,RA/1,2,Losonci negyed,Üres,Üres,Rossz állapotú,71.0,UCP,5/23/2006,31444.0,,,,0.0,0.0
1163,Társasház,36116/A/2,Práter u. 69,,Pi.,RA/2,2,Losonci negyed,Üres,Üres,Rossz állapotú,35.0,UCP,4/23/2007,15645.0,,,,0.0,0.0
1165,Társasház,36116/A/5,Práter u. 69,,Fsz.,ÜZ/1,2,Losonci negyed,Üres,Üres,Rossz állapotú,52.0,UCH,5/12/2021,23087.0,"áram, víz",,,0.0,0.0
1167,Önkormányzati bérház,36111//0,Práter u. 75,,Pi.,UCP,2,Losonci negyed,Üres,Üres,Rossz állapotú,77.0,UCP,6/12/2014,0.0,víz,Bérlő,fix dátumig,0.0,0.0
1170,Társasház,36394/A/3,Práter u. 9,,Pi.,RA,2,Corvin negyed,Üres,Üres,Rossz állapotú,90.0,UCP,9/21/2015,15170.0,"áram, víz",,,0.0,0.0
1173,Társasház,36559/10/A/1,Puskin u. 19,1. lp.,Pi.,UZ/1,3,Palotanegyed,Üres,Üres,Rossz állapotú,169.0,UDP,10/12/2012,50550.0,"áram, víz",,,0.0,0.0
1174,Társasház,36530/A/1,Puskin u. 20,,Pi.,UZ/1,3,Palotanegyed,Üres,Üres,Rossz állapotú,186.0,UCP,5/26/2008,47802.0,"áram, gáz, víz",,,0.0,0.0
1175,Társasház,36528/A/1,Puskin u. 24,,Pi.,RA/1,3,Palotanegyed,Üres,Üres,Rossz állapotú,40.0,UDP,9/29/2005,12784.0,,,,0.0,0.0
1182,Társasház,36546/A/2,Rákóczi út 13,,Pi.,OV,2,Palotanegyed,Üres,Üres,Rossz állapotú,55.0,UDP,4/8/2008,14534.0,,,,0.0,0.0
1183,Társasház,36546/A/3,Rákóczi út 13,,Pi.,KA,2,Palotanegyed,Üres,Üres,Rossz állapotú,27.0,UDP,6/8/2020,10875.0,,,,0.0,0.0
1192,Társasház,34640/A/3,Rákóczi út 53,,Pi./Fsz.,3.,2,Népszínház negyed,Üres,Üres,Rossz állapotú,125.0,UCH+UCP,11/15/2012,50232.0,"áram, gáz",,,0.0,0.0
1194,Társasház,34640/A/9,Rákóczi út 53,,Pi.,ÜZ/7,2,Népszínház negyed,Üres,Üres,Rossz állapotú,109.0,UDP,1/1/2000,38040.0,,,,0.0,0.0
1195,Társasház,34639/A/2,Rákóczi út 55,,Pi.,RA/1,2,Népszínház negyed,Üres,Üres,Rossz állapotú,61.0,UDP,1/1/2000,15580.0,,,,0.0,0.0
1196,Társasház,34639/A/3,Rákóczi út 55,,Pi.,RA/2,2,Népszínház negyed,Üres,Üres,Rossz állapotú,94.0,UDP,1/1/2000,23940.0,,,,0.0,0.0
1199,Társasház,34628/A/6,Rákóczi út 59,,Fsz./Fe.,UZ/6,2,Népszínház negyed,Üres,Üres,Rossz állapotú,134.0,UDH (földszinti),9/18/2015,26967.0,"áram, víz",,,0.0,0.0
1200,Társasház,34628/A/7,Rákóczi út 59,,Fsz.,IR/7,2,Népszínház negyed,Üres,Üres,Rossz állapotú,54.0,UDH (földszinti),4/3/2012,10967.0,"áram, víz",,,0.0,0.0
1202,Társasház,34627/A/64,Rákóczi út 61,,as.,,2,Népszínház negyed,Üres,Üres,Rossz állapotú,53.0,UDP,3/26/2008,11925.0,víz,,,0.0,0.0
1203,Társasház,34626/A/65,Rákóczi út 63,,Pi./Fsz.,UZ/6,2,Népszínház negyed,Üres,Üres,Közepes állapotú,989.0,UCH,3/6/2008,187910.0,"gáz, víz",,,0.0,0.0
